car, image_link, price, description
Toyota Land Cruiser,https://im.mashina.kg/tachka/images//3/a/6/3a6c37f01d6b79f2eedce08368e29a71_640x480.jpg,12 510 000 сом,"ЭКСТЕРЬЕР
- Омыватель фар
- Люк с электроприводом
- Боковые подножки с подсветкой
- Полноразмерное запасное колесо
- Светодиодные передние противотуманные фары
- Задние противотуманные фонари
- Электрообогрев лобового стекла (всей поверхности)
- Передние и задние брызговики
- Боковые подножки
- Задний спойлер
- Центральный замок с ДУ
- Интеллектуальная система доступа в автомобиль Smart Entry и запуск двигателя Push Start
- Задняя дверь с электроприводом
- Рейлинги на крыше
- Светодиодные передние фары и дневные ходовые огни
- Электрохромные боковые зеркала заднего вида с электрорегулировкой и подогревом
- Обогрев заднего стекла
- Легкосплавные диски, шины 265/55R20
- Аудиосистема премиум класса JBL, мультимедийный дисплей 12.3"", 14 динамиков

КОМФОРТ
- Автоматическая корректировка угла наклона фар
- Салонное зеркало заднего вида с автоматическим затемнением
- Беспроводное зарядное устройство
- Передние и задние датчики парковки
- Механизм рулевого управления с переменным передаточным отношением (VGRS)
- Датчик дождя
- Электронный стояночный тормоз
- Ионизатор воздуха Nano-e
- Кожаная обивка сидений Smooth leather
- Вентиляция задних сидений
- Электроскладываемый 3-й ряд сидений в соотношении 50:50

МУЛЬТИМЕДИА
- Коммуникационная система Bluetooth®
- USB разъемы
- Мультиинформационный 7"" TFT-дисплей
- Камера панорамного обзора (PVM)

БЕЗОПАСНОСТЬ
- Система поддержания постоянной скорости на бездорожье с 5 фиксированными скоростями (CRAWL CONTROL)
- Антиблокировочная система (ABS)
- Система распределения тормозного усилия (EBD)
- Усилитель экстренного торможения (BA)
- Система курсовой устойчивости (VSC)
- Активная антипробуксовочная система А-TRC
- Система помощи при подъеме по склону (НАС)
- Система контроля давления в шинах (TPWS)
- Сигнализация с иммобилайзером
- Система экстренного вызова
- Селектор режима выбора работы систем помощи при движении по бездорожью (Multi-Terrain Select)
- Система стабилизации прицепа (TSC)
- 8 подушек безопасности: 2 фронтальные, 2 коленные для переднего ряда, 2 передние боковые, 2 шторки
- Функция сканирования отпечатка пальца на кнопке запуска двигателя
- Селектор выбора режимов движения ECO/NORMAL/COMFORT
- Система помощи при спуске по склону (DAC)
- Блокировка переднего межколесного дифференциала
- Блокировка заднего межколесного дифференциала

ПАКЕТ ""ЗИМНИЙ КОМФОРТ""
- Подогрев передних сидений

ИНТЕРЬЕР
- Подогрев 2-го ряда сидений
- Вентиляция передних сидений
- Электропривод передних сидений (с памятью настроек для водительского сиденья)
- Электрорегулировка поясничного подпора водительского сиденья
- Складываемый второй ряд сидений в соотношении 40:20:40
- Мультифункциональное кожаное рулевое колесо
- Подогрев рулевого колеса
- Электрорегулировка рулевой колонки по наклону и вылету с памятью настроек
- Электростеклоподъемники с функцией одно касание
- 4-х зонный климат-контроль
- Охлаждаемый ящик

"
Toyota Land Cruiser P…,https://im.mashina.kg/tachka/images//4/2/1/4213a5523112a650de43e7022677b3ea_640x480.jpg,5 904 000 сом,"КОМФОРТ
- Светодиодные дневные ходовые огни
- Светодиодные передние противотуманные фары
- Рейлинги на крыше
- Легкосплавные диски, шины 265/65R17
- Система головного освещения с автоматическим отключением Follow me home
- Механическая корректировка угла наклона фар
- Хромированная решетка радиатора
- Электрообогрев лобового стекла в зоне стеклоочистителей
- Задний спойлер
- Датчик дождя
- Центральный замок с ДУ
- Защита топливного бака
- Тормозные фонари с сигнализацией аварийной остановки
- Хромированная насадка глушителя
- Галогеновые фары ближнего и дальнего света
- USB разъемы
- Боковые зеркала заднего вида с электрорегулировкой и подогревом, окрашенные под цвет кузова
омыватель фар
- Полноразмерное запасное колесо
- Задние противотуманные фонари
- Передние и задние брызговики
- Датчик света

КОМФОРТ
- Задние датчики парковки
- Тканевая обивка сидений
- 2-х зонный климат-контроль с дополнительным воздуховодом для 2-го ряда сидений

МУЛЬТИМЕДИА
- Камера заднего вида со статичными линиями разметки
- Комуникационная система Bluetooth
- Мультимедийная система AM/FM, с поддержкой Apple CarPlay/Android Auto, дисплей 9"", 9 динамиков (без CD-слота)

БЕЗОПАСНОСТЬ
- 7 подушек безопасности: 2 фронтальные, 2 передние боковые, 2 боковые шторки,1 коленная для водителя
- Антиблокировочная система (ABS)
- Система распределения тормозного усилия (EBD)
- Усилитель экстренного торможения (BA)
- Система курсовой устойчивости (VSC)
- Система стабилизации прицепа (TSC)
- Блокировка межосевого дифференциала
- Крепление ISOFIX для детских кресел
- Система экстренного вызова
- Конструкция передних сидений снижающая вероятность травмы шеи
- Система оповещения о непреднамеренном пересечении дорожной разметки (LDA)
- Система предупреждения об угрозе фронтального столкновения с функцией автоматического торможения (PCS)
- Круиз-контроль с функцией поддержания безопасной дистанции до впереди идущего автомобиля (DRCC)
- Система контроля и информирования об усталости водителя (SWS)
- Активная антипробуксовочная система (А-TRC)

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Иммобилайзер

ПАКЕТ ""ЗИМНИЙ КОМФОРТ""
- Подогрев передних сидений

ПАКЕТ СИСТЕМ АКТИВНОЙ БЕЗОПАСНОСТИ Toyota Safety System
- Cистема автоматического переключения дальнего света на ближний (AHB)

ИНТЕРЬЕР
- Без 3-го ряда сидений
- Электрорегулировка передних сидений (8 направлений для водительского сиденья, 4 направления для пассажирского сиденья)
- Мультифункциональное кожаное рулевое колесо
- Механическая регулировка рулевой колонки по наклону и вылету
- Крепление для багажа
"
Toyota Land Cruiser P…,https://im.mashina.kg/tachka/images//d/f/0/df0ee2806e4193470daa7f8423db9191_640x480.jpg,6 390 000 сом,"ЭКСТЕРЬЕР
- Светодиодные дневные ходовые огни
- Светодиодные передние противотуманные фары
- Рейлинги на крыше
- Легкосплавные диски, шины 265/65R17
- Система головного освещения с автоматическим отключением Follow me home
- Автоматическая корректировка угла наклона фар
- Хромированная решетка радиатора
- Электрообогрев лобового стекла в зоне стеклоочистителей
- Задний спойлер
- Центральный замок с ДУ
- Защита топливного бака
- Тормозные фонари с сигнализацией аварийной остановки
- Хромированная насадка глушителя
- USB разъемы
- Светодиодные фары ближнего и дальнего света
- Боковые зеркала заднего вида с электрорегулировкой и подогревом, окрашенные под цвет кузова
омыватель фар
- Полноразмерное запасное колесо
- Задние противотуманные фонари
- Передние и задние брызговики
- Датчик света

КОМФОРТ
- Задние датчики парковки
- Вентиляция передних сидений

МУЛЬТИМЕДИА
- Камера заднего вида со статичными линиями разметки
- Комуникационная система Bluetooth
- Мультимедийная система AM/FM, с поддержкой Apple CarPlay/Android Auto, дисплей 9"", 9 динамиков (без CD-слота)

БЕЗОПАСНОСТЬ
- 7 подушек безопасности: 2 фронтальные, 2 передние боковые, 2 боковые шторки,1 коленная для водителя
- Антиблокировочная система (ABS)
- Система распределения тормозного усилия (EBD)
- Усилитель экстренного торможения (BA)
- Система курсовой устойчивости (VSC)
- Система стабилизации прицепа (TSC)
- Блокировка межосевого дифференциала
- Крепление ISOFIX для детских кресел
- Система экстренного вызова
- Конструкция передних сидений снижающая вероятность травмы шеи
- Система оповещения о непреднамеренном пересечении дорожной разметки (LDA)
- Система предупреждения об угрозе фронтального столкновения с функцией автоматического торможения (PCS)
- Круиз-контроль с функцией поддержания безопасной дистанции до впереди идущего автомобиля (DRCC)
- Система контроля и информирования об усталости водителя (SWS)
- Активная антипробуксовочная система (А-TRC)

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Иммобилайзер

ПАКЕТ ""ЗИМНИЙ КОМФОРТ""
- Подогрев передних сидений

ПАКЕТ СИСТЕМ АКТИВНОЙ БЕЗОПАСНОСТИ Toyota Safety System
- Система автоматического переключения дальнего света на ближний (AHB)

ИНТЕРЬЕР
- 3-й ряд сидений с механическим складыванием в пол
- Электрорегулировка передних сидений (8 направлений для водительского сиденья, 4 направления для пассажирского сиденья)
- Мультифункциональное кожаное рулевое колесо
- Механическая регулировка рулевой колонки по наклону и вылету
- 2-х зонный климат-контроль
Охлаждаемый ящик
Кожаная обивка сидений"
Toyota Land Cruiser,https://im.mashina.kg/tachka/images//5/6/c/56cc278b64532b251ee018a620454f35_640x480.jpg,14 310 000 сом,"ЭКСТЕРЬЕР
- Омыватель фар
- Люк с электроприводом
- Боковые подножки с подсветкой
- Полноразмерное запасное колесо
- Светодиодные передние противотуманные фары
- Электрообогрев лобового стекла (всей поверхности)
- Передние и задние брызговики
- Боковые подножки
- Задний спойлер
- Интеллектуальная система доступа в автомобиль Smart Entry и запуск двигателя Push Start
- Рейлинги на крыше
- Дополнительный топливный бак
- Светодиодные передние фары и дневные ходовые огни
- Электрохромные боковые зеркала заднего вида с электрорегулировкой и подогревом
- Обогрев заднего стекла
- Легкосплавные диски, шины 265/55R20
- Передний и задний обвес
- Омыватель камеры заднего вида
- Задняя дверь с электроприводом с функцией Kick type
- Аудиосистема премиум класса JBL, мультимедийный дисплей 12.3"", 14 динамиков
- Автоматическая корректировка угла наклона фар
- Задние противотуманные фонари

КОМФОРТ
- Салонное зеркало заднего вида с автоматическим затемнением
- Двухзонный климат-контроль
- Четырехзонный климат-контроль
- Передние и задние датчики парковки
- Селектор выбора режимов движения ECO/NORMAL/COMFORT/SPORT S/SPORT S+
- Датчик дождя
- Электронный стояночный тормоз
- Ионизатор воздуха Nano-e
- Кожаная обивка сидений Smooth leather
- Вентиляция задних сидений
- Цветной проекционный дисплей

МУЛЬТИМЕДИА
- Коммуникационная система Bluetooth®
- Мультиинформационный 7"" TFT-дисплей
- Камера панорамного обзора (PVM)
- Два монитора в задней части подголовников передних сидений (RSE)
- Разъем HDMI
- USB порт
- Беспроводное зарядное устройство

БЕЗОПАСНОСТЬ
- Блокировка межосевого дифференциала
- 10 подушек безопасности: 2 фронтальные, 2 коленные, 4 передние и задние боковые, 2 боковые шторки
- Антиблокировочная система (ABS)
- Система распределения тормозного усилия (EBD)
- Усилитель экстренного торможения (BA)
- Система курсовой устойчивости (VSC)
- 4 камеры по периметру автомобиля с системой помощи при движении по бездорожью (Multi-Terrain Monitor)
- Активная антипробуксовочная система А-TRC
- Система контроля давления в шинах (TPWS)
- Адаптивная регулируемая подвеска (AVS)
- Система помощи при старте на подъеме (HAC)
- Система экстренного вызова
- Селектор режима выбора работы систем помощи при движении по бездорожью (Multi-Terrain Select)
- Система стабилизации прицепа (TSC)
- 8 подушек безопасности: 2 фронтальные, 2 коленные для переднего ряда, 2 передние боковые, 2 шторки
- Система помощи при спуске по склону (DAC)
- Блокировка заднего межколесного дифференциала

ПАКЕТ ""ЗИМНИЙ КОМФОРТ""
- Подогрев передних сидений

ПАКЕТ АКТИВНОЙ БЕЗОПАСНОСТИ Toyota Safety System
- Система поддержания постоянной скорости на бездорожье с 5 фиксированными скоростями (CRAWL CONTROL)

ИНТЕРЬЕР
- Подогрев 2-го ряда сидений
- Вентиляция передних сидений
- Электропривод передних сидений (с памятью настроек для водительского сиденья)
- Электрорегулировка поясничного подпора водительского сиденья
- Складываемый второй ряд сидений в соотношении 40:20:40
- Мультифункциональное кожаное рулевое колесо
- Подогрев рулевого колеса
- Электрорегулировка рулевой колонки по наклону и вылету с памятью настроек
- Электростеклоподъемники с функцией одно касание
- Охлаждаемый ящик"
Toyota Land Cruiser,https://im.mashina.kg/tachka/images//9/9/0/99012614d9f6a1cd66c92ca3f46ef9b9_640x480.jpg,14 400 000 сом,"ЭКСТЕРЬЕР
- Омыватель фар
- Люк с электроприводом
- Боковые подножки с подсветкой
- Полноразмерное запасное колесо
- Светодиодные передние противотуманные фары
- Электрообогрев лобового стекла (всей поверхности)
- Передние и задние брызговики
- Боковые подножки
- Задний спойлер
- Интеллектуальная система доступа в автомобиль Smart Entry и запуск двигателя Push Start
- Рейлинги на крыше
- Дополнительный топливный бак
- Светодиодные передние фары и дневные ходовые огни
- Электрохромные боковые зеркала заднего вида с электрорегулировкой и подогревом
- Обогрев заднего стекла
- Легкосплавные диски, шины 265/55R20
- Передний и задний обвес
- Омыватель камеры заднего вида
- Задняя дверь с электроприводом с функцией Kick type
- Аудиосистема премиум класса JBL, мультимедийный дисплей 12.3"", 14 динамиков
- Автоматическая корректировка угла наклона фар
- Задние противотуманные фонари

КОМФОРТ
- Салонное зеркало заднего вида с автоматическим затемнением
- Двухзонный климат-контроль
- Четырехзонный климат-контроль
- Передние и задние датчики парковки
- Селектор выбора режимов движения ECO/NORMAL/COMFORT/SPORT S/SPORT S+
- Датчик дождя
- Электронный стояночный тормоз
- Ионизатор воздуха Nano-e
- Кожаная обивка сидений Smooth leather
- Вентиляция задних сидений
- Цветной проекционный дисплей

МУЛЬТИМЕДИА
- Коммуникационная система Bluetooth®
- Мультиинформационный 7"" TFT-дисплей
- Камера панорамного обзора (PVM)
- Разъем HDMI
- USB порт
- Беспроводное зарядное устройство

БЕЗОПАСНОСТЬ
- Блокировка межосевого дифференциала
- 10 подушек безопасности: 2 фронтальные, 2 коленные, 4 передние и задние боковые, 2 боковые шторки
- Антиблокировочная система (ABS)
- Система распределения тормозного усилия (EBD)
- Усилитель экстренного торможения (BA)
- Система курсовой устойчивости (VSC)
- 4 камеры по периметру автомобиля с системой помощи при движении по бездорожью (Multi-Terrain Monitor)
- Активная антипробуксовочная система А-TRC
- Система контроля давления в шинах (TPWS)
- Адаптивная регулируемая подвеска (AVS)
- Система помощи при старте на подъеме (HAC)
- Система экстренного вызова
- Селектор режима выбора работы систем помощи при движении по бездорожью (Multi-Terrain Select)
- Система стабилизации прицепа (TSC)
- 8 подушек безопасности: 2 фронтальные, 2 коленные для переднего ряда, 2 передние боковые, 2 шторки
- Система помощи при спуске по склону (DAC)
- Блокировка заднего межколесного дифференциала

ПАКЕТ ""ЗИМНИЙ КОМФОРТ""
- Подогрев передних сидений

ПАКЕТ СИСТЕМ АКТИВНОЙ БЕЗОПАСНОСТИ Toyota Safety System
- Система поддержания постоянной скорости на бездорожье с 5 фиксированными скоростями (CRAWL CONTROL)

ИНТЕРЬЕР
- Подогрев 2-го ряда сидений
- Вентиляция передних сидений
- Электропривод передних сидений (с памятью настроек для водительского сиденья)
- Электрорегулировка поясничного подпора водительского сиденья
- Складываемый второй ряд сидений в соотношении 40:20:40
- Мультифункциональное кожаное рулевое колесо
- Подогрев рулевого колеса
- Электрорегулировка рулевой колонки по наклону и вылету с памятью настроек
- Электростеклоподъемники с функцией одно касание
- Охлаждаемый ящик
"
Toyota Corolla,https://im.mashina.kg/tachka/images//d/6/a/d6a0f969af9a302ccd33491616149419_640x480.jpg,3 195 000 сом,"ЭКСТЕРЬЕР
- Дверные ручки, окрашенные в цвет кузова
- Светодиодные дневные ходовые огни
- Система головного освещения с автоматическим отключением `Follow me home`
- Задние противотуманные фонари
- Передние и задние брызговики
- Защита картера двигателя
- Антенна `плавник акулы`
- Тормозные фонари с сигнализацией аварийной остановки
- Легкосплавные диски, шины 225/45R17
- Боковые зеркала заднего вида с электрорегулировкой и подогревом
- Тонировка задних стекол
- Механическая корректировка угла наклона фар
- Светодиодная передняя и задняя оптика
- Светодиодные передние противотуманные фары
- Электроскладывамые боковые зеркала заднего вида
- Электрообогрев лобового стекла в зоне стеклоочистителей
- Интеллектуальная система доступа в автомобиль Smart Entry и запуск двигателя Push Start
- Легкосплавные диски, шины 225/45R17 (новый дизайн)

КОМФОРТ
- Полноразмерное запасное колесо
- Регулировка рулевой колонки по вылету и наклону
- 2 подстаканника для передних пассажиров
- Камера заднего вида со статичными линиями разметки
- Салонное зеркало заднего вида с автоматическим затемнением
- Передние и задние датчики парковки
- Система мониторинга давления в шинах
- Круиз-контроль
- Обогрев заднего стекла
- Набор автомобилиста
- Комбинированная обивка сидений
- Электрорегулировка поясничной опоры для водителя
- Подогрев задних сидений
- Мультифункциональное кожаное рулевое колесо с подогревом
- Светодиодная подсветка салона автомобиля
- Воздуховоды для задних пассажиров
- Индикатор низкого уровня омывающей жидкости
- Коврик багажника
- Комплект секретных гаек (4шт)
- Датчик света
- Датчик дождя
- Беспроводное зарядное устройство
- Задний подлокотник с подстаканниками

МУЛЬТИМЕДИА
- USB разъем
- Bluetooth
- Цветной многофункциональный 7` дисплей
- Мультимедийная система с поддержкой Apple Car Play / Android Auto, дисплей 8`, 6 динамиков
- Разъем Type C (спереди)

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS)
- Крепление ISOFIX для детских кресел
- Система курсовой устойчивости (VSC)
- Система помощи при подъеме по склону (HAC)
- 6 подушек безопасности: 2 фронтальные, 2 передние боковые, 2 боковые шторки
- Система экстренного вызова

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с ДУ
- Иммобилайзер

ИНТЕРЬЕР
- 2-х зонный климат-контроль
- Комплект резиновых ковриков для 1-го и 2-го рядов сидений
- Механическая регулировка водительского сиденья
- Подогрев передних сидений
- Складываемый второй ряд сидений в соотношении 60:40"
Toyota Land Cruiser,https://im.mashina.kg/tachka/images//4/1/3/413ed18318e0ec86e6d874b361bb2df9_640x480.jpg,14 400 000 сом,"ЭКСТЕРЬЕР
- Омыватель фар
- Люк с электроприводом
- Боковые подножки с подсветкой
- Полноразмерное запасное колесо
- Светодиодные передние противотуманные фары
- Электрообогрев лобового стекла (всей поверхности)
- Передние и задние брызговики
- Боковые подножки
- Задний спойлер
- Интеллектуальная система доступа в автомобиль Smart Entry и запуск двигателя Push Start
- Рейлинги на крыше
- Дополнительный топливный бак
- Светодиодные передние фары и дневные ходовые огни
- Электрохромные боковые зеркала заднего вида с электрорегулировкой и подогревом
- Обогрев заднего стекла
- Легкосплавные диски, шины 265/55R20
- Передний и задний обвес
- Омыватель камеры заднего вида
- Задняя дверь с электроприводом с функцией Kick type
- Аудиосистема премиум класса JBL, мультимедийный дисплей 12.3"", 14 динамиков
- Автоматическая корректировка угла наклона фар
- Задние противотуманные фонари

КОМФОРТ
- Салонное зеркало заднего вида с автоматическим затемнением
- Двухзонный климат-контроль
- Четырехзонный климат-контроль
- Передние и задние датчики парковки
- Селектор выбора режимов движения ECO/NORMAL/COMFORT/SPORT S/SPORT S+
- Датчик дождя
- Электронный стояночный тормоз
- Ионизатор воздуха Nano-e
- Кожаная обивка сидений Smooth leather
- Вентиляция задних сидений
- Цветной проекционный дисплей

МУЛЬТИМЕДИА
- Коммуникационная система Bluetooth®
- Мультиинформационный 7"" TFT-дисплей
- Камера панорамного обзора (PVM)
- Два монитора в задней части подголовников передних сидений (RSE)
- Разъем HDMI
- USB порт
- Беспроводное зарядное устройство

БЕЗОПАСНОСТЬ
- Блокировка межосевого дифференциала
- 10 подушек безопасности: 2 фронтальные, 2 коленные, 4 передние и задние боковые, 2 боковые шторки
- Антиблокировочная система (ABS)
- Система распределения тормозного усилия (EBD)
- Усилитель экстренного торможения (BA)
- Система курсовой устойчивости (VSC)
- 4 камеры по периметру автомобиля с системой помощи при движении по бездорожью (Multi-Terrain Monitor)
- Активная антипробуксовочная система А-TRC
- Система контроля давления в шинах (TPWS)
- Адаптивная регулируемая подвеска (AVS)
- Система помощи при старте на подъеме (HAC)
- Система экстренного вызова
- Селектор режима выбора работы систем помощи при движении по бездорожью (Multi-Terrain Select)
- Система стабилизации прицепа (TSC)
- 8 подушек безопасности: 2 фронтальные, 2 коленные для переднего ряда, 2 передние боковые, 2 шторки
- Система помощи при спуске по склону (DAC)
- Блокировка заднего межколесного дифференциала

ПАКЕТ ""ЗИМНИЙ КОМФОРТ""
- Подогрев передних сидений

ПАКЕТ СИСТЕМ АКТИВНОЙ БЕЗОПАСНОСТИ Toyota Safety System
- Система поддержания постоянной скорости на бездорожье с 5 фиксированными скоростями (CRAWL 
CONTROL)

ИНТЕРЬЕР
- Подогрев 2-го ряда сидений
- Вентиляция передних сидений
- Электропривод передних сидений (с памятью настроек для водительского сиденья)
- Электрорегулировка поясничного подпора водительского сиденья
- Складываемый второй ряд сидений в соотношении 40:20:40
- Мультифункциональное кожаное рулевое колесо
- Подогрев рулевого колеса
- Электрорегулировка рулевой колонки по наклону и вылету с памятью настроек
- Электростеклоподъемники с функцией одно касание
- Охлаждаемый ящик"
Toyota HiAce,https://im.mashina.kg/tachka/images//3/8/5/385585fdc5c9dc03def9c38b154683d5_640x480.jpg,5 580 000 сом,"ЭКСТЕРЬЕР
- Полноразмерное запасное колесо 
- Передние галогеновые фары 
- Передние и задние противотуманные фонари 
- Галогеновые дневные ходовые огни 
- Механическая регулировка фар 
- Повторители поворота на боковых зеркалах 
- Боковые зеркала заднего вида с электроприводом регулировок 
- Передние и задние брызговики 
- Задний дворник 
- Обогрев заднего стекла 
- Топливный бак 70л 
- 16"" стальные диски, шины 235/65R16

КОМФОРТ
- Подстаканники - 4 шт. 
- Кондиционер 
- Блок задних воздуховодов с индивидуальной регулировкой 
- Дополнительный отопитель салона 
- Без подогрева передних сидений 
- Механическая регулировка рулевой колонки по углу наклона и вылету 
- Мультифункциональное уретановое рулевое колесо и рычаг КПП 
- Тканевый салон 
- Салонное зеркало заднего вида с функцией ""день/ночь""

МУЛЬТИМЕДИА
- Цветной 4.2 мультиинформационный TFT дисплей 
- Аудиоподготовка AM/FM/CD/Bluetooth, 2 динамика 
- Две розетки 12V 
- Разъемы 1 USB+ 1 AUX

БЕЗОПАСНОСТЬ
- 2 фронтальные подушки безопасности первого ряда (Водитель + пассажир) 
- Система курсовой устойчивости (VSC) 
- Система помощи при старте на подъеме (HAC) 
- Система экстренного вызова"
Toyota Land Cruiser,https://im.mashina.kg/tachka/images//4/a/e/4aec05a4d8f4c972c9b21d87e7fc815d_640x480.jpg,13 500 000 сом,"ЭКСТЕРЬЕР
- Омыватель фар 
- Рейлинги на крыше 
- Светодиодные передние фары и дневные ходовые огни 
- Электрообогрев лобового стекла (всей поверхности) 
- Передние и задние брызговики 
- Боковые подножки 
- Задний спойлер 
- Центральный замок с ДУ 
- Интеллектуальная система доступа в автомобиль Smart Entry и запуск двигателя Push Start 
- Омыватель камеры заднего вида 
- Полноразмерное запасное колесо 
- Боковые подножки для версии GR Sport 
- Накладки на пороги с логотип GR Sport 
- Решетка радиатор для версии GR Sport 
- Передний и задний бамперы для версии GR Sport 
- Черные легкосплавные диски, шины 265/65R19 для off-road 
- Люк с электроприводом 
- Обогрев заднего стекла 
- Электрохромные боковые зеркала заднего вида с электрорегулировкой и подогревом 
- Светодиодные передние противотуманные фары 
- Задние противотуманные фонари 
- Задняя дверь с электроприводом с функцией Kick type 
- Аудиосистема премиум класса JBL, мультимедийный дисплей 12.3"", 14 динамиков

КОМФОРТ
- Ионизатор воздуха Nano-e 
- Механизм рулевого управления с переменным передаточным отношением (VGRS) 
- Автоматическая корректировка угла наклона фар 
- Салонное зеркало заднего вида с автоматическим затемнением 
- Электронный стояночный тормоз 
- Беспроводное зарядное устройство 
- Передние и задние датчики парковки 
- Селектор выбора режимов движения ECO/NORMAL/COMFORT/SPORT S/SPORT S+ 
- Датчик дождя Логотип GR Sport на ключе 
- Вентиляция задних сидений 
- Логотип GR Sport в подголовниках передних сидений 
- Кожаная обивка сидений Smooth leather

МУЛЬТИМЕДИА
- Проекционный дисплей 
- Камера панорамного обзора (PVM) 
- Мультиинформационный 7"" TFT-дисплей 
- USB разъемы 
- Коммуникационная система Bluetooth®

БЕЗОПАСНОСТЬ
- Система помощи при спуске по склону (DAC) 
- Блокировка переднего межколесного дифференциала 
- Система электронной стабилизации положения кузова (е-KDSS) 
- Функция сканирования отпечатка пальца на кнопке запуска двигателя 
- 8 подушек безопасности: 2 фронтальные, 2 коленные для переднего ряда, 2 передние боковые, 2 шторки 
- Система стабилизации прицепа (TSC) 
- Блокировка заднего межколесного дифференциала 
- Селектор режима выбора работы систем помощи при движении по бездорожью (Multi-Terrain Select) 
- Система экстренного вызова 
- Система поддержания постоянной скорости на бездорожье с 5 фиксированными скоростями (CRAWL CONTROL) 
- 10 подушек безопасности: 2 фронтальные, 2 коленные, 4 передние и задние боковые, 2 боковые шторки 
- Антиблокировочная система (ABS) 
- Система распределения тормозного усилия (EBD) 
- Усилитель экстренного торможения (BA) 
- Система курсовой устойчивости (VSC) 
- 4 камеры по периметру автомобиля с системой помощи при движении по бездорожью (Multi-Terrain Monitor)
- Активная антипробуксовочная система А-TRC 
- Система помощи при подъеме по склону (НАС) 
- Система контроля давления в шинах (TPWS) 
- Адаптивная регулируемая подвеска (AVS) 
- Сигнализация с иммобилайзером

ПАКЕТ ""ЗИМНИЙ КОМФОРТ""
- Подогрев передних сидений

ИНТЕРЬЕР
- Подогрев 2-го ряда сидений 
- Вентиляция передних сидений 
- Электропривод передних сидений (с памятью настроек для водительского сиденья) 
- Электрорегулировка поясничного подпора водительского сиденья 
- Складываемый второй ряд сидений в соотношении 40:20:40 
- Мультифункциональное кожаное рулевое колесо 
- Электрорегулировка рулевой колонки по наклону и вылету с памятью настроек 
- Электростеклоподъемники с функцией одно касание 
- 4-х зонный климат-контроль 
- Охлаждаемый ящик 
- Подогрев рулевого колеса"
Toyota RAV4,https://im.mashina.kg/tachka/images//4/c/2/4c221a373abca1f3f7a81ad610c6595b_640x480.jpg,4 275 000 сом,"ЭКСТЕРЬЕР
- Светодиодные передние противотуманные фонари 
- Передние и задние датчики парковки 
- Легкосплавные диски, шины 225/60R18 
- Неполноразмерное запасное колесо R17 
- Светодиодные фары ближнего и дальнего света 
- Электрообогрев в зоне стеклоочистителей 
- Электропривод багажника 
- Электрообогрев лобового стекла в зоне стеклоочистителей 
- Дверные ручки, окрашенные в цвет кузова 
- Электрообогрев форсунок стеклоочистителей 
- Светодиодные дневные ходовые огни 
- Обогрев заднего стекла 
- Рейлинги на крыше 
- Передние и задние брызговики 
- Боковые зеркала заднего вида с электроприводом, электроскладыванием, подогревом и повторителями поворота 
- Система головного освещения с автоматическим отключением ""Follow me home"" 
- Стеклоочиститель заднего стекла 
- Сигнал экстренного торможения 
- Омыватель фар 
- Автоматическая корректировка угла наклона фар 
- Задние противотуманные фонари 
- Светодиодные задние фонари

КОМФОРТ
- Механическая регулировка передних сидений 
- Круиз-контроль 
- Тканевая обивка сидений 
- Интеллектуальная система доступа в автомобиль Smart Entry и запуска двигателя Push Start 
- Обивка потолка серого цвета 
- Воздуховоды для задних пассажиров 2-хзонный климат-контроль 
- Салонное зеркало заднего вида с автоматическим затемнением 
- Функция освещения при посадке в автомобиль 
- Датчик света и дождя 
- Подогрев передних сидений 
- Механическая регулировка рулевой колонки по вылету и наклону 
- Мультифункциональное кожаное рулевое колесо с подогревом 
- Индикатор низкого уровня омывающей жидкости 
- Датчики давления в шинах 
- Подстаканники (2 передних, 2 задних) 
- Складываемый второй ряд сидений в соотношении 60:40

МУЛЬТИМЕДИА
- Мультимедийная система MM21, дисплей 10.5"", 6 динамиков 
- Камера заднего вида с динамическими линиями разметки 
- Поддержка беспроводного Apple CarPlay ® и проводного Android Auto ® 
- Цветной многофункциональный 12.3"" дисплей (электронная приборная панель) 
- Коммуникационная система Bluetooth USB-разъёмы для переднего и заднего ряда (5шт.)

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS) 
- Электрический стояночный тормоз (EPB) 
- Усилитель экстренного торможения (BA) 
- Система помощи при старте на подъеме (HAC) 
- Система помощи при спуске (DAC) 
- Система курсовой устойчивости (VSC) 
- Выбор режима движения ECO/NORMAL/SPORT, OFF-ROAD MUD&SAND/ROCKS&DIRT/SNOW 
- 7 подушек безопасности: 2 фронтальные, 2 передние боковые, 2 боковые шторки, 1 коленная для водителя

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Иммобилайзер 
- Центральный замок с ДУ"
